ZSD_min,ZSD_5percentile,uo_max,vo_max,vo_mean,uo_mean,KD490_min,Med_distance-from-port-4km,vessel_density_4km,dist_city,dist_river,mediterranean_KE_currents,NO3_5percentile,OA_mean,OA_min,PO4_95percentile,PO4_min,SWH_min,mean_number_mhws,mean_intensity_mhws,CHL-a_90percentile,O2_5percentile,O2_min,SST_sd,SST_95percentile,SAL_5percentile,SSH_mean,SAL_s,pixel_indices,lat,lon
1.4243155,2.7267462015151978,0.09000204,0.078754485,-0.0030446139,0.0010145733,0.07149106,4.5565476,0.0,48.105480783191354,5.586058639383641,0.044079,11.137490272521973,8.111252,7.930222,0.04340954422950745,0.006114225,1.6540000000000001,1.9,1.8440885322623266,0.7745774626731873,258.2381286621094,210.67743,6.453861814042417,299.127001953125,35.56855010986328,-0.40150806,0.8362174392771728,487.0,45.745700708005835,13.195833333519168
1.3747926,2.8362109661102295,0.06613564,0.07336505,-0.0010154503,-0.0005690223,0.06638613,3.4249117,0.0,44.95472902533798,3.822528067886652,0.033953,10.606669425964355,8.111226,7.9251223,0.03871051669120789,0.005628041,1.723,1.9,1.8440885322623266,0.7561735868453979,257.67254638671875,211.36052,6.441727867192032,299.1199951171875,35.68906021118164,-0.40246516,0.7716492822688543,488.0,45.745700708005835,13.2375000001869
1.3373566,2.880455493927002,0.05767442,0.101168014,0.0006345116,-0.0011712034,0.062662065,5.727559,0.0,41.816986209524636,4.351894957510379,0.586285,10.2638578414917,8.111116,7.9208484,0.035459013283252724,0.005427036,1.6170001,1.9,1.8440885322623266,0.7404599308967591,257.18353271484375,211.97089,6.431983994214032,299.14699096679686,35.76525115966797,-0.40341675,0.7135467997364101,489.0,45.745700708005835,13.279166666854632
1.4135132,5.261375904083252,0.10664004,0.09219266,-0.055576015,0.03585585,0.05586461,5.5597463,0.0,23.55521760569442,14.233702004098483,1.82355,22.934946060180664,8.092285,7.954711,0.059164804965257646,0.028856829,1.041,1.95,1.7414848255222273,0.6686119556427002,268.89508056640625,233.00723,6.339919348318914,298.8599853515625,33.21331024169922,-0.40287915,0.966995279908367,495.0,45.745700708005835,13.529166666861022
1.3692706,4.48040509223938,0.12310977,0.092524536,-0.05759682,0.034034714,0.07903447,5.5597463,1.2392019,20.716629853780802,17.13025869463424,1.82355,21.60714340209961,8.089521,7.949053,0.050018007308244704,0.021102475,1.0490000000000002,1.95,1.7414848255222273,0.6785613298416138,269.029296875,231.47426,6.339919348318914,298.8599853515625,34.0111198425293,-0.4067483,1.297538831658496,496.0,45.745700708005835,13.570833333528753
1.3518205,5.517396926879883,0.12210965,0.08502839,-0.04422124,0.023070388,0.07425342,2.5802395,0.14176439,18.01254988197919,20.13016897114763,0.139561,19.902429580688477,8.085771,7.9391303,0.042699606716632844,0.0125769945,0.97300005,1.95,1.741315564826705,0.6800608396530151,268.4595947265625,230.05931,6.337875601105629,298.77399291992185,35.130836486816406,-0.40959588,1.4055651635704074,497.0,45.745700708005835,13.612500000196484
1.3948174,5.3593034744262695,0.10540722,0.17178246,0.00030412796,0.0019959877,0.062515,1.9105419,0.0,53.7461211161879,3.1636192624931234,7.096701,11.65030288696289,8.111793,7.9324694,0.04764630645513535,0.0067249807,1.636,1.8,1.7701000490855572,0.7879078149795532,258.70513916015625,210.22922,6.470560033097577,299.1499938964844,35.36012268066406,-0.40036118,0.8681662138191774,798.0,45.70394562400973,13.112500000183704
1.4634244,5.453238010406494,0.09000204,0.078754485,-0.0030446139,0.0010145733,0.061046414,4.4753656,0.123228304,0.0,0.0,0.044079,11.137490272521973,8.111252,7.930222,0.04340954422950745,0.006114225,1.6540000000000001,1.9,1.7388647290448414,0.7745774626731873,258.2381286621094,210.67743,6.453861814042417,299.127001953125,35.56855010986328,-0.40150806,0.8362174392771728,800.0,45.70394562400973,13.195833333519168
1.4310231,5.364041805267334,0.06613564,0.07336505,-0.0010154503,-0.0005690223,0.059555694,3.8217614,0.1889834,0.0,0.0,0.033953,10.606669425964355,8.111226,7.9251223,0.03871051669120789,0.005628041,1.723,1.9,1.8440885322623266,0.7561735868453979,257.67254638671875,211.36052,6.441727867192032,299.1199951171875,35.68906021118164,-0.40246516,0.7716492822688543,801.0,45.70394562400973,13.2375000001869
1.3545771,5.527647495269775,0.05767442,0.101168014,0.0006345116,-0.0011712034,0.058549874,2.355734,0.1889834,20.964192448468033,0.11892743788715905,0.586285,10.2638578414917,8.111116,7.9208484,0.035459013283252724,0.005427036,1.6170001,1.9,1.8440885322623266,0.7404599308967591,257.18353271484375,211.97089,6.431983994214032,299.14699096679686,35.76525115966797,-0.40341675,0.7135467997364101,802.0,45.70394562400973,13.279166666854632
1.4080172,4.477200984954834,0.15172829,0.09923319,-0.011233266,-0.026385501,0.057776026,2.3306403,0.0,34.51010551884983,2.3602169697530435,3.474823,10.344433784484863,8.112302,7.9359136,0.02352531179785729,0.0031201749,1.8780001,1.75,1.8431510173312013,0.6140301942825318,252.7087860107422,218.52544,6.415795209396315,299.1510040283203,35.744361877441406,-0.40407738,0.8328971241081523,804.0,45.70394562400973,13.362500000190096
1.4135132,5.261375904083252,0.12836653,0.091285795,-0.049919788,-0.04955969,0.05586461,7.745232,0.10177173,0.0,0.0,0.406971,18.41788673400879,8.101819,7.947265,0.03743037953972817,0.016704548,1.2550001,1.95,1.7101899310974653,0.667326045036316,264.2443542480469,227.68723,6.339919348318914,298.8599853515625,34.31555938720703,-0.4052306,0.9881126962448263,808.0,45.70394562400973,13.529166666861022
1.3677871,6.078388214111328,0.11322832,0.08133145,-0.040674265,-0.030918347,0.052467555,7.745232,0.059754416,18.776238312339217,15.833075153506197,0.256908,17.264549255371094,8.096215,7.944651,0.03445141538977623,0.012005377,1.13,1.85,1.709318190449335,0.6705097913742065,265.8896789550781,227.56206,6.339919348318914,298.8599853515625,34.972782135009766,-0.4075834,1.333749642998675,809.0,45.70394562400973,13.570833333528753
1.3455358,6.0872414112091064,0.09478254,0.078087166,-0.03412476,-0.013227372,0.052724868,5.425189,1.5079631,15.739823782271891,19.04068716041106,0.139014,15.704785346984863,8.092332,7.9372787,0.032586758583784105,0.008468049,1.024,1.85,1.7147578222350666,0.6579813957214355,266.1054382324219,227.60225,6.337875601105629,298.77399291992185,35.82199478149414,-0.4096779,1.387519723812036,810.0,45.70394562400973,13.612500000196484
1.3293056,6.111088752746582,0.08996039,0.08993353,-0.028274404,-0.0018528807,0.053051077,1.5537602,1.5079631,12.802163333747925,22.256579523273437,0.043539,14.598881721496582,8.089447,7.9299736,0.03059179373085499,0.0063084,0.91600007,1.85,1.7147578222350666,0.630588734149933,265.76055908203125,227.61726,6.336091146660642,298.72698669433595,36.68572998046875,-0.4115646,1.2229047505955024,811.0,45.70394562400973,13.654166666864217
1.3244381,5.835351943969727,0.11958036,0.11294559,-0.012997287,0.0023242836,0.06325081,0.0,0.14831144,10.050231233058268,25.47761618468389,0.036687,13.336166381835938,8.089346,7.9271927,0.027780599147081374,0.0049339766,0.8140000000000001,1.85,1.694149858140801,0.5947547674179078,265.42462158203125,227.57536,6.335772801668626,298.7309906005859,37.0020637512207,-0.4129188,1.01898539165052,812.0,45.70394562400973,13.695833333531947
1.5812874,5.94571852684021,0.117516056,0.12827149,-0.025057832,0.0045820624,0.057971105,2.2238986,0.0,50.21380552629666,4.306257713749665,1.420901,12.17518138885498,8.113973,7.942024,0.053406761586666116,0.012587825,1.889,1.8,1.7701000490855572,0.7628379583358766,257.64227294921875,213.16617,6.382443601012993,299.0970031738281,34.9461669921875,-0.3993035,0.9731077461218575,1112.0,45.66219054001362,13.154166666851436
1.8525016,6.5194091796875,0.118519194,0.07196683,-0.011488433,-0.00788364,0.057050735,4.4753656,0.123228304,46.97664251988259,5.441074709924015,0.411098,10.855835914611816,8.111915,7.940384,0.04385299831628799,0.008955325,1.8850001,1.9,1.7388647290448414,0.7469709992408753,256.7493896484375,213.93141,6.350054892290677,299.0940002441406,35.56197738647461,-0.40119162,0.9729091381476817,1113.0,45.66219054001362,13.195833333519168
1.6853098,6.724447727203369,0.12724072,0.04699793,-0.0042395405,-0.01686676,0.056559443,3.8217614,0.1889834,43.739651708102095,5.662869665815394,0.514653,10.12232494354248,8.11141,7.9348655,0.036225540190935136,0.0069048307,1.8980001,1.9,1.8440885322623266,0.7459365725517274,255.79061889648438,215.10912,6.3244010719355,299.1099853515625,35.85317611694336,-0.40220958,0.8975380627397436,1114.0,45.66219054001362,13.2375000001869
